id,state,value,law,pop
01,Alabama,67,TRUE,4853875
02,Alaska,11,FALSE,737709
04,Arizona,136,FALSE,6817565
05,Arkansas,79,FALSE,2977853
06,California,462,TRUE,38993940
08,Colorado,106,FALSE,5448819
09,Connecticut,53,FALSE,3584730
10,Delaware,19,FALSE,944076
11,District of Columbia,3,TRUE,670377
12,Florida,616,FALSE,20244914
13,Georgia,152,TRUE,10199398
15,Hawaii,26,FALSE,1425157
16,Idaho,31,FALSE,1652828
17,Illinois,147,FALSE,12839047
18,Indiana,108,FALSE,6612768
19,Iowa,41,FALSE,3121997
20,Kansas,44,FALSE,2906721
21,Kentucky,91,FALSE,4424611
22,Louisiana,91,TRUE,4668960
23,Maine,32,FALSE,1329453
24,Maryland,75,TRUE,5994983
25,Massachusetts,46,TRUE,6784240
26,Michigan,141,FALSE,9917715
27,Minnesota,61,FALSE,5482435
28,Mississippi,37,TRUE,2989390
29,Missouri,97,TRUE,6076204
30,Montana,24,FALSE,1032073
31,Nebraska,25,TRUE,1893765
32,Nevada,55,TRUE,2883758
33,New Hampshire,26,FALSE,1330111
34,New Jersey,50,TRUE,8935421
35,New Mexico,38,FALSE,2080328
36,New York,160,TRUE,19747183
37,North Carolina,192,TRUE,10035186
38,North Dakota,8,FALSE,756835
39,Ohio,168,FALSE,11605090
40,Oklahoma,89,FALSE,3907414
41,Oregon,61,TRUE,4024634
42,Pennsylvania,178,FALSE,12791904
44,Rhode Island,9,FALSE,1055607
45,South Carolina,184,FALSE,4894834
46,South Dakota,31,FALSE,857919
47,Tennessee,123,TRUE,6595056
48,Texas,443,FALSE,27429639
49,Utah,36,FALSE,2990632
50,Vermont,11,TRUE,626088
51,Virginia,79,TRUE,8367587
53,Washington,77,TRUE,7160290
54,West Virginia,32,TRUE,1841053
55,Wisconsin,81,FALSE,5767891
56,Wyoming,24,FALSE,586555
